ID,name,sort name,birth year,death year,Has Account,Admin Link,VIAF id,Gender,Birth Date,Death Date,Wikidata URL,Wikipedia URL,Nationality
6096,Oscar Wilde,"Wilde, Oscar",1854.0,1900.0,False,/admin/people/person/6096/change/,http://viaf.org/viaf/34464414/,Male,1854.0,1900.0,https://www.wikidata.org/entity/Q30875#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Oscar_Wilde,Ireland
626,Richard Wright,"Wright, Richard",1908.0,1960.0,True,/admin/people/person/626/change/,http://viaf.org/viaf/34464524,Male,1908.0,1960.0,https://www.wikidata.org/entity/Q319820#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Richard_Wright_(author),United States
6565,James Hanley,"Hanley, James",1901.0,1985.0,False,/admin/people/person/6565/change/,http://viaf.org/viaf/34471543/,Male,,,https://www.wikidata.org/entity/Q174181#sitelinks-wikipedia,https://en.wikipedia.org/wiki/James_Hanley_(novelist),United Kingdom
5419,William Empson,"Empson, William",1906.0,1984.0,False,/admin/people/person/5419/change/,http://viaf.org/viaf/34474006/,Male,1906.0,1984.0,https://www.wikidata.org/entity/Q966870#sitelinks-wikipedia,https://en.wikipedia.org/wiki/William_Empson,United Kingdom
6861,DuBose Heyward,"Heyward, DuBose",1885.0,1940.0,False,/admin/people/person/6861/change/,http://viaf.org/viaf/34476077/,Male,1885.0,1940.0,https://www.wikidata.org/entity/Q2382900#sitelinks-wikipedia,https://en.wikipedia.org/wiki/DuBose_Heyward,United States
5727,W. E. B. Du Bois,"Du Bois, W. E. B.",1868.0,1963.0,False,/admin/people/person/5727/change/,http://viaf.org/viaf/34476326/,Male,1868.0,1963.0,https://www.wikidata.org/entity/Q158060#sitelinks-wikipedia,https://en.wikipedia.org/wiki/W._E._B._Du_Bois,United States
6770,Charles Singer,"Singer, Charles",1876.0,1960.0,False,/admin/people/person/6770/change/,http://viaf.org/viaf/34479352/,Male,1876.0,1960.0,https://www.wikidata.org/entity/Q367890#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Charles_Singer,United Kingdom
7785,Mary Hunter Austin,"Austin, Mary Hunter",1868.0,1934.0,False,/admin/people/person/7785/change/,http://viaf.org/viaf/34482580/,Female,1868.0,1934.0,https://www.wikidata.org/entity/Q477999#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Mary_Hunter_Austin,United States
10445,Seumas O'Sullivan,"O'Sullivan, Seumas",1879.0,1958.0,False,/admin/people/person/10445/change/,http://viaf.org/viaf/34500799/,Male,1879.0,1958.0,https://www.wikidata.org/entity/Q7457028#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Seumas_O'Sullivan,Ireland
6381,Alix Strachey,"Strachey, Alix",1892.0,1973.0,False,/admin/people/person/6381/change/,http://viaf.org/viaf/34536224/,Female,1892.0,1973.0,https://www.wikidata.org/entity/Q4727526#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Alix_Strachey,United Kingdom
10502,W. H. D. Rouse,"Rouse, W. H. D.",1863.0,1950.0,False,/admin/people/person/10502/change/,http://viaf.org/viaf/34546383/,Male,,,,,United Kingdom
6150,Christine Ladd-Franklin,"Ladd-Franklin, Christine",1847.0,1930.0,False,/admin/people/person/6150/change/,http://viaf.org/viaf/34562835/,Female,1847.0,1930.0,https://www.wikidata.org/entity/Q441382#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Christine_Ladd-Franklin,United States
8075,Sir Reginald Fleming Johnston,"Johnston, Reginald Fleming, Sir,",1874.0,1938.0,False,/admin/people/person/8075/change/,http://viaf.org/viaf/34565551/,Male,1874.0,1938.0,https://www.wikidata.org/entity/Q557192#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Reginald_Johnston,United Kingdom
539,Marcel Thiébaut,"Thiébaut, Marcel",1897.0,1961.0,True,/admin/people/person/539/change/,http://viaf.org/viaf/34575729,Male,,,https://www.wikidata.org/entity/Q15407225#sitelinks-wikipedia,,France
5567,Dorothy Canfield Fisher,"Fisher, Dorothy Canfield",1879.0,1958.0,False,/admin/people/person/5567/change/,http://viaf.org/viaf/34577709/,Female,1879.0,1958.0,https://www.wikidata.org/entity/Q5298346#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Dorothy_Canfield_Fisher,United States
6900,Robert Myron Coates,"Coates, Robert Myron",1897.0,1973.0,False,/admin/people/person/6900/change/,http://viaf.org/viaf/34583723/,Male,1897.0,1973.0,https://www.wikidata.org/entity/Q9069789#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Robert_Coates_(critic),United States
