uri,genre,title,author,editor,translator,introduction,illustrator,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated
https://shakespeareandco.princeton.edu/books/bennett-god-hath-joined/,Fiction,Whom God Hath Joined,"Bennett, Arnold",,,,,,1906,Book,FALSE,https://archive.org/details/whomgodhathjoine00benn,,,1,1,0,1926,2021-10-29T02:47:17.218558+00:00
https://shakespeareandco.princeton.edu/books/atkinson-gnani-yoga-series/,Nonfiction,A Series of Lessons in Gnani Yoga,"Ramacharaka, Yogi",,,,,,1907,Book,FALSE,https://archive.org/details/cu31924022985422/page/n5/mode/2up,,,1,1,0,1932,2020-12-05T02:06:52+00:00
https://shakespeareandco.princeton.edu/books/masefield-tarpaulin-muster/,Fiction,A Tarpaulin Muster,"Masefield, John",,,,,,1907,Book,FALSE,https://archive.org/details/tarpaulinmuster00maseuoft,,,1,1,0,1919,2021-11-04T03:06:51.911986+00:00
https://shakespeareandco.princeton.edu/books/frazier-adonis-attis-osiris/,Nonfiction,Adonis Attis Osiris: Studies in the History of Oriental Religion,"Frazer, James George",,,,,,1907,Book,FALSE,https://archive.org/details/adonisattisosiri00frazuoft,,,2,2,0,1939;1934,2021-01-17T22:10:33+00:00
https://shakespeareandco.princeton.edu/books/howells-dark-daylight/,Fiction,Between the Dark and the Daylight,"Howells, William Dean",,,,,,1907,Book,FALSE,https://archive.org/details/betweendarkandd00howegoog,,,1,1,0,1926,2021-03-25T21:17:17+00:00
https://shakespeareandco.princeton.edu/books/joyce-chamber-music/,Poetry,Chamber Music,"Joyce, James",,,,,,1907,Book,FALSE,https://archive.org/details/chambermusic00joycrich/page/n5/mode/2up,,,13,10,3,1920;1921;1922;1924;1958;1931;1935;1937;1938;1941,2020-08-30T16:23:52+00:00
https://shakespeareandco.princeton.edu/books/padelford-early-sixteenth-century/,Poetry,Early Sixteenth Century Lyrics,,"Padelford, Frederick Morgan",,,,,1907,Book,FALSE,https://archive.org/details/earlysixteenthce00padeuoft,,,1,1,0,1924,2021-05-25T01:39:38+00:00
https://shakespeareandco.princeton.edu/books/gosse-father-study-two/,Nonfiction,Father and Son: A Study of Two Temperaments,"Gosse, Edmund",,,,,,1907,Book,FALSE,https://archive.org/details/fatherson00gossiala/page/n7/mode/2up,,,5,5,0,1920;1926;1931;1934;1935,2020-07-05T02:32:52+00:00
https://shakespeareandco.princeton.edu/books/wood-tell-birds-flowers/,Nonfiction,How to Tell the Birds from the Flowers: A Manual of Flornithology for Beginners,"Wood, Robert Williams",,,,,,1907,Book,FALSE,https://archive.org/details/howtotellbirdsfr00wood,,,1,1,0,1921,2020-07-17T19:02:20+00:00
https://shakespeareandco.princeton.edu/books/shaw-john-bulls-island/,Drama,John Bull's Other Island,"Shaw, George Bernard",,,,,,1907,Book,FALSE,https://archive.org/details/cu31924012967125,,,5,5,0,1921;1922;1924;1925;1926,2021-07-17T23:05:02+00:00
https://shakespeareandco.princeton.edu/books/hearn-letters-raven/,Nonfiction,Letters from the Raven,"Hearn, Lafcadio;Watkin, Henry","Bronner, Milton",,,,,1907,Book,FALSE,https://archive.org/details/cu31924022250512,,,1,1,0,1922,2021-07-20T00:38:49+00:00
https://shakespeareandco.princeton.edu/books/berenson-north-italian-painters/,Nonfiction,North Italian Painters of the Renaissance,"Berenson, Bernard",,,,,,1907,Book,FALSE,https://archive.org/details/northitalianpain00bere,,,1,1,0,1935,2021-11-12T13:10:48.660810+00:00
https://shakespeareandco.princeton.edu/books/gull-oscar-wilde/,Nonfiction,Oscar Wilde,"Ingleby, Leonard Cresswell",,,,,,1907,Book,FALSE,https://archive.org/details/cu31924098811007,,,2,1,0,1929;1925,2020-05-24T19:32:32+00:00
https://shakespeareandco.princeton.edu/books/james-pragmatism-new-name/,Nonfiction,Pragmatism: A New Name for Some Old Ways of Thinking; Popular Lectures on Philosophy,"James, William",,,,,,1907,Book,FALSE,https://archive.org/details/pragmatismanewn00jamegoog,,,2,2,0,1937;1926,2021-11-09T17:48:11.682980+00:00
https://shakespeareandco.princeton.edu/books/shelley-selected-poems-percy/,Poetry,Selected Poems of Percy Bysshe Shelley,"Shelley, Percy Bysshe","Clarke, George Herbert",,,,,1907,Book,FALSE,https://babel.hathitrust.org/cgi/pt?id=uva.x000737220,,,1,1,0,1937,2020-05-19T00:18:18+00:00
https://shakespeareandco.princeton.edu/books/raleigh-shakespeare/,Nonfiction,Shakespeare,"Raleigh, Walter Alexander",,,,,,1907,Book,FALSE,https://archive.org/details/shakespeare00rale/page/n6/mode/2up,,,1,1,0,1922,2020-05-10T03:02:05+00:00
https://shakespeareandco.princeton.edu/books/galsworthy-country-house/,Fiction,The Country House,"Galsworthy, John",,,,,,1907,Book,FALSE,https://archive.org/details/countryhouseanov00galsrich/page/n5/mode/2up,,,12,12,0,1922;1923;1926;1929;1936;1941,2020-08-30T16:36:45+00:00
https://shakespeareandco.princeton.edu/books/morris-early-romances-william/,Fiction; Poetry,The Early Romances of William Morris in Prose and Verse,"Morris, William","Noyes, Alfred",,,,,1907,Book,FALSE,https://archive.org/details/earlyromancesofw00morr/page/n7/mode/2up,,,1,1,0,1926,2020-06-06T16:53:46+00:00
https://shakespeareandco.princeton.edu/books/adams-education-henry-adams/,Nonfiction,The Education of Henry Adams,"Adams, Henry",,,,,,1907,Book,FALSE,https://archive.org/details/educationofhenry002024mbp,,,3,2,1,1938;1934;1926,2021-05-25T20:34:29+00:00
https://shakespeareandco.princeton.edu/books/wendell-france-today/,Nonfiction,The France of Today,"Wendell, Barrett",,,,,,1907,Book,FALSE,https://archive.org/details/cu31924024338281,,,1,1,0,1932,2021-06-18T00:46:13+00:00
https://shakespeareandco.princeton.edu/books/wharton-fruit-tree/,Fiction,The Fruit of the Tree,"Wharton, Edith",,,,,,1907,Book,FALSE,https://archive.org/details/fruitoftree00whar/page/n5/mode/2up,,,5,5,0,1936;1929;1938;1940,2020-08-23T19:58:46+00:00
https://shakespeareandco.princeton.edu/books/bennett-ghost/,Fiction,The Ghost: A Modern Fantasy,"Bennett, Arnold",,,,,,1907,Book,FALSE,https://archive.org/details/ghostmodernfanta00bennrich,,,5,5,0,1920;1922;1931,2021-06-18T03:14:13+00:00
https://shakespeareandco.princeton.edu/books/machen-hill-dreams/,Fiction,The Hill of Dreams,"Machen, Arthur",,,,,,1907,Book,FALSE,https://archive.org/details/hillofdreams00machrich/page/n7/mode/2up,,,3,3,0,1929;1922;1934,2021-01-09T02:42:12+00:00
https://shakespeareandco.princeton.edu/books/london-iron-heel/,Fiction,The Iron Heel,"London, Jack",,,,,,1907,Book,FALSE,https://archive.org/details/ironhee00lond/page/n5/mode/2up,,,1,1,0,1922,2021-01-16T01:33:59+00:00
https://shakespeareandco.princeton.edu/books/lenotre-last-days-marie/,Nonfiction,The Last Days of Marie Antoinette,"Lenotre, G.",,"Stawell, Maud Margaret Key",,,,1907,Book,FALSE,https://archive.org/details/cu31924024293429,,,1,1,0,1928,2021-07-19T21:45:36+00:00
https://shakespeareandco.princeton.edu/books/wright-life-walter-pater/,Nonfiction,The Life of Walter Pater,"Wright, Thomas",,,,,,1907,Book,FALSE,https://archive.org/details/lifeofwalterpate01wrig,,,4,4,0,1921;1924;1925,2021-07-20T02:08:07+00:00
https://shakespeareandco.princeton.edu/books/forster-longest-journey/,Fiction,The Longest Journey,"Forster, E. M.",,,,,,1907,Book,FALSE,https://archive.org/details/in.ernet.dli.2015.40438,,,16,14,0,1924;1925;1927;1933;1935;1936;1938;1939;1940;1946;1947,2021-10-26T00:27:27.514633+00:00
https://shakespeareandco.princeton.edu/books/butler-note-books-samuel/,Nonfiction,The Note-Books of Samuel Butler,"Butler, Samuel","Jones, Henry Festing",,"Hackett, Francis",,,1907,Book,FALSE,https://archive.org/details/cu31924013448299,,,6,6,0,1920;1923;1925;1926;1936;1942,2020-05-24T20:09:54+00:00
https://shakespeareandco.princeton.edu/books/synge-playboy-western-world/,Drama,The Playboy of the Western World,"Synge, John Millington",,,,,,1907,Book,FALSE,https://archive.org/details/playboyofwestern00syng_1,,,7,7,0,1920;1923;1941;1926,2021-11-09T21:26:25.617325+00:00
https://shakespeareandco.princeton.edu/books/herbert-poems-george-herbert/,Poetry,The Poems of George Herbert,"Herbert, George",,,"Waugh, Arthur",,,1907,Book,FALSE,https://archive.org/details/poemsofgeorgeher031171mbp/page/n5/mode/2up,,"Ford Madox Ford borrowed the World Classics edition of *The Poems of George Herbert,* edited by Arthur Waugh (1907).",2,2,0,1938,2020-06-02T20:24:11+00:00
https://shakespeareandco.princeton.edu/books/london-road/,Fiction,The Road,"London, Jack",,,,,,1907,Book,FALSE,https://archive.org/details/cu31924095660472/page/n8/mode/2up,,,2,2,0,1921,2021-10-29T18:31:31.532504+00:00
